scenario,metric,significant_impact_fp,total_comparisons,significant_impact_fp_rate,ttest_fp,ttest_fp_rate,max_significant_impact_bound
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatAspectBenchmark netcoreapp3.1,throughput,19,55,34.54545455,40,72.72727273,6.661877745
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatBenchmark net6.0,execution_time,19,55,34.54545455,33,60,17.81549113
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeLegacyArgs net6.0,execution_time,18,55,32.72727273,39,70.90909091,5.781089889
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatAspectBenchmark netcoreapp3.1,execution_time,17,55,30.90909091,39,70.90909091,6.24714115
Benchmarks.Trace.GraphQLBenchmark.ExecuteAsync net6.0,execution_time,16,55,29.09090909,20,36.36363636,14.32724082
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatAspectBenchmark net6.0,execution_time,16,55,29.09090909,33,60,12.21545723
Benchmarks.Trace.DbCommandBenchmark.ExecuteNonQuery netcoreapp3.1,throughput,15,55,27.27272727,44,80,4.13556682
Benchmarks.Trace.ElasticsearchBenchmark.CallElasticsearch net6.0,execution_time,14,55,25.45454545,18,32.72727273,10.25141757
Benchmarks.Trace.ILoggerBenchmark.EnrichedLog net6.0,execution_time,14,55,25.45454545,17,30.90909091,22.56782585
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatAspectBenchmark net6.0,throughput,14,55,25.45454545,32,58.18181818,9.067631327
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeLegacyArgs net6.0,throughput,13,55,23.63636364,32,58.18181818,4.661017463
Benchmarks.Trace.AspNetCoreBenchmark.SendRequest net6.0,throughput,13,55,23.63636364,19,34.54545455,42.02434387
Benchmarks.Trace.ElasticsearchBenchmark.CallElasticsearch net6.0,throughput,13,55,23.63636364,25,45.45454545,7.300549904
Benchmarks.Trace.RedisBenchmark.SendReceive net6.0,execution_time,13,55,23.63636364,16,29.09090909,10.49522865
Benchmarks.Trace.SpanBenchmark.StartFinishScope net472,throughput,13,55,23.63636364,43,78.18181818,7.680138278
Benchmarks.Trace.AgentWriterBenchmark.WriteAndFlushEnrichedTraces netcoreapp3.1,execution_time,12,55,21.81818182,29,52.72727273,3.162664628
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeArgs netcoreapp3.1,execution_time,12,55,21.81818182,25,45.45454545,8.841406679
Benchmarks.Trace.SerilogBenchmark.EnrichedLog net472,throughput,12,55,21.81818182,46,83.63636364,3.994727107
Benchmarks.Trace.SpanBenchmark.StartFinishTwoScopes net472,throughput,12,55,21.81818182,46,83.63636364,3.051249479
Benchmarks.Trace.ElasticsearchBenchmark.CallElasticsearchAsync net6.0,execution_time,11,55,20,20,36.36363636,6.792873335
Benchmarks.Trace.ILoggerBenchmark.EnrichedLog net6.0,throughput,11,55,20,16,29.09090909,11.74698237
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatBenchmark net472,throughput,11,55,20,35,63.63636364,4.874708268
Benchmarks.Trace.AspNetCoreBenchmark.SendRequest net6.0,execution_time,10,55,18.18181818,12,21.81818182,22.64492015
Benchmarks.Trace.ElasticsearchBenchmark.CallElasticsearch net472,throughput,10,55,18.18181818,41,74.54545455,3.677670327
Benchmarks.Trace.ElasticsearchBenchmark.CallElasticsearchAsync net472,throughput,10,55,18.18181818,42,76.36363636,2.614716217
Benchmarks.Trace.GraphQLBenchmark.ExecuteAsync netcoreapp3.1,throughput,10,55,18.18181818,44,80,3.451000245
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatBenchmark net472,execution_time,10,55,18.18181818,36,65.45454545,4.795935169
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatBenchmark netcoreapp3.1,throughput,10,55,18.18181818,16,29.09090909,5.508597656
Benchmarks.Trace.NLogBenchmark.EnrichedLog net6.0,execution_time,10,55,18.18181818,18,32.72727273,10.74769054
Benchmarks.Trace.RedisBenchmark.SendReceive netcoreapp3.1,throughput,10,55,18.18181818,39,70.90909091,3.715043309
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleMoreComplexBody netcoreapp3.1,throughput,9,55,16.36363636,46,83.63636364,3.248803719
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatBenchmark netcoreapp3.1,execution_time,9,55,16.36363636,10,18.18181818,4.079782822
Benchmarks.Trace.NLogBenchmark.EnrichedLog net6.0,throughput,9,55,16.36363636,13,23.63636364,7.048681542
Benchmarks.Trace.SpanBenchmark.StartFinishSpan netcoreapp3.1,throughput,9,55,16.36363636,32,58.18181818,4.152554295
Benchmarks.Trace.Asm.AppSecBodyBenchmark.ObjectExtractorMoreComplexBody net472,throughput,8,55,14.54545455,48,87.27272727,3.041179533
Benchmarks.Trace.CharSliceBenchmark.OriginalCharSlice net6.0,execution_time,8,55,14.54545455,45,81.81818182,3.012215121
Benchmarks.Trace.ILoggerBenchmark.EnrichedLog net472,throughput,8,55,14.54545455,41,74.54545455,3.016194737
Benchmarks.Trace.NLogBenchmark.EnrichedLog net472,throughput,8,55,14.54545455,45,81.81818182,3.694521434
Benchmarks.Trace.SerilogBenchmark.EnrichedLog net6.0,throughput,7,55,12.72727273,23,41.81818182,3.738966478
Benchmarks.Trace.SingleSpanAspNetCoreBenchmark.SingleSpanAspNetCore net6.0,throughput,7,55,12.72727273,15,27.27272727,6.795744241
Benchmarks.Trace.Asm.AppSecBodyBenchmark.ObjectExtractorMoreComplexBody netcoreapp3.1,throughput,6,55,10.90909091,32,58.18181818,2.253358755
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSlice net472,execution_time,6,55,10.90909091,38,69.09090909,3.483026861
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSliceWithPool net6.0,throughput,6,55,10.90909091,34,61.81818182,3.750768474
Benchmarks.Trace.CharSliceBenchmark.OriginalCharSlice net6.0,throughput,6,55,10.90909091,45,81.81818182,2.878517186
Benchmarks.Trace.DbCommandBenchmark.ExecuteNonQuery net6.0,execution_time,6,55,10.90909091,9,16.36363636,4.136184836
Benchmarks.Trace.GraphQLBenchmark.ExecuteAsync net6.0,throughput,6,55,10.90909091,13,23.63636364,3.372457894
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleSimpleBody net472,throughput,5,55,9.090909091,42,76.36363636,2.642665397
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeArgs net472,throughput,5,55,9.090909091,39,70.90909091,2.44867067
Benchmarks.Trace.AspNetCoreBenchmark.SendRequest netcoreapp3.1,execution_time,5,55,9.090909091,11,20,4.716827941
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSliceWithPool net6.0,execution_time,5,55,9.090909091,36,65.45454545,4.006147952
Benchmarks.Trace.DbCommandBenchmark.ExecuteNonQuery net6.0,throughput,5,55,9.090909091,17,30.90909091,5.369483201
