scenario,metric,significant_impact_fp,total_comparisons,significant_impact_fp_rate,ttest_fp,ttest_fp_rate,max_significant_impact_bound
Benchmarks.Trace.CIVisibilityProtocolWriterBenchmark.WriteAndFlushEnrichedTraces net6.0,execution_time,15,21,71.42857143,17,80.95238095,11.50027498
Benchmarks.Trace.SingleSpanAspNetCoreBenchmark.SingleSpanAspNetCore net6.0,execution_time,13,21,61.9047619,15,71.42857143,42.00565787
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeLegacyArgs net6.0,execution_time,12,21,57.14285714,14,66.66666667,4.305286186
Benchmarks.Trace.CIVisibilityProtocolWriterBenchmark.WriteAndFlushEnrichedTraces net472,throughput,12,21,57.14285714,14,66.66666667,6.099949034
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSlice netcoreapp3.1,execution_time,10,21,47.61904762,17,80.95238095,24.17890671
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSlice netcoreapp3.1,throughput,10,21,47.61904762,17,80.95238095,29.75960682
Benchmarks.Trace.CIVisibilityProtocolWriterBenchmark.WriteAndFlushEnrichedTraces net472,execution_time,10,21,47.61904762,12,57.14285714,5.896364032
Benchmarks.Trace.SingleSpanAspNetCoreBenchmark.SingleSpanAspNetCore netcoreapp3.1,throughput,10,21,47.61904762,12,57.14285714,2.095415799
Benchmarks.Trace.CIVisibilityProtocolWriterBenchmark.WriteAndFlushEnrichedTraces net6.0,throughput,8,21,38.0952381,18,85.71428571,4.577432757
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleMoreComplexBody net6.0,execution_time,7,21,33.33333333,14,66.66666667,4.545365694
Benchmarks.Trace.SpanBenchmark.StartFinishSpan net472,throughput,7,21,33.33333333,14,66.66666667,2.803234375
Benchmarks.Trace.AgentWriterBenchmark.WriteAndFlushEnrichedTraces netcoreapp3.1,execution_time,6,21,28.57142857,17,80.95238095,23.7573244
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeLegacyArgs netcoreapp3.1,execution_time,6,21,28.57142857,17,80.95238095,3.916928741
Benchmarks.Trace.ActivityBenchmark.StartStopWithChild netcoreapp3.1,execution_time,6,21,28.57142857,15,71.42857143,8.96550457
Benchmarks.Trace.SerilogBenchmark.EnrichedLog netcoreapp3.1,execution_time,6,21,28.57142857,13,61.9047619,5.90050163
Benchmarks.Trace.SpanBenchmark.StartFinishSpan netcoreapp3.1,execution_time,6,21,28.57142857,13,61.9047619,3.070578373
Benchmarks.Trace.ActivityBenchmark.StartStopWithChild net6.0,execution_time,6,21,28.57142857,11,52.38095238,28.84861948
Benchmarks.Trace.CharSliceBenchmark.OriginalCharSlice netcoreapp3.1,execution_time,6,21,28.57142857,11,52.38095238,31.59443448
Benchmarks.Trace.CharSliceBenchmark.OriginalCharSlice netcoreapp3.1,throughput,6,21,28.57142857,11,52.38095238,42.37452875
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleSimpleBody net6.0,execution_time,6,21,28.57142857,9,42.85714286,7.045210681
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatAspectBenchmark netcoreapp3.1,execution_time,6,21,28.57142857,7,33.33333333,9.598532545
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatAspectBenchmark netcoreapp3.1,throughput,6,21,28.57142857,7,33.33333333,17.08269862
Benchmarks.Trace.AgentWriterBenchmark.WriteAndFlushEnrichedTraces net6.0,execution_time,6,21,28.57142857,6,28.57142857,15.12938616
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleSimpleBody netcoreapp3.1,execution_time,6,21,28.57142857,6,28.57142857,3.462893988
Benchmarks.Trace.SpanBenchmark.StartFinishTwoScopes net6.0,execution_time,6,21,28.57142857,6,28.57142857,4.471695605
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSlice net472,execution_time,5,21,23.80952381,15,71.42857143,2.990666621
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSlice net472,throughput,5,21,23.80952381,15,71.42857143,3.101722425
Benchmarks.Trace.SpanBenchmark.StartFinishScope net6.0,execution_time,5,21,23.80952381,11,52.38095238,3.809825678
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSliceWithPool net6.0,execution_time,4,21,19.04761905,17,80.95238095,2.812439425
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSliceWithPool net6.0,throughput,4,21,19.04761905,17,80.95238095,2.922254261
Benchmarks.Trace.ILoggerBenchmark.EnrichedLog net6.0,execution_time,4,21,19.04761905,14,66.66666667,3.260232937
Benchmarks.Trace.DbCommandBenchmark.ExecuteNonQuery net6.0,execution_time,4,21,19.04761905,13,61.9047619,2.512143202
Benchmarks.Trace.CharSliceBenchmark.OriginalCharSlice net6.0,execution_time,4,21,19.04761905,12,57.14285714,3.243112906
Benchmarks.Trace.CharSliceBenchmark.OriginalCharSlice net6.0,throughput,4,21,19.04761905,12,57.14285714,2.801200442
Benchmarks.Trace.AspNetCoreBenchmark.SendRequest net6.0,throughput,4,21,19.04761905,11,52.38095238,2.818395158
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatBenchmark netcoreapp3.1,throughput,4,21,19.04761905,7,33.33333333,4.839672989
Benchmarks.Trace.AspNetCoreBenchmark.SendRequest net6.0,execution_time,3,21,14.28571429,10,47.61904762,2.89690398
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatBenchmark netcoreapp3.1,execution_time,3,21,14.28571429,6,28.57142857,3.99445805
Benchmarks.Trace.GraphQLBenchmark.ExecuteAsync net6.0,throughput,2,21,9.523809524,17,80.95238095,2.441339692
Benchmarks.Trace.HttpClientBenchmark.SendAsync netcoreapp3.1,throughput,2,21,9.523809524,17,80.95238095,2.33353677
Benchmarks.Trace.Asm.AppSecBodyBenchmark.ObjectExtractorSimpleBody netcoreapp3.1,execution_time,2,21,9.523809524,12,57.14285714,2.375559513
Benchmarks.Trace.SpanBenchmark.StartFinishScope netcoreapp3.1,execution_time,2,21,9.523809524,11,52.38095238,2.660437663
Benchmarks.Trace.SingleSpanAspNetCoreBenchmark.SingleSpanAspNetCore net6.0,throughput,2,21,9.523809524,10,47.61904762,2.238374219
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatBenchmark net6.0,throughput,2,21,9.523809524,4,19.04761905,2.671004121
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatAspectBenchmark net6.0,throughput,2,21,9.523809524,3,14.28571429,2.485731743
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSliceWithPool netcoreapp3.1,execution_time,1,21,4.761904762,18,85.71428571,2.056783607
Benchmarks.Trace.TraceAnnotationsBenchmark.RunOnMethodBegin netcoreapp3.1,throughput,1,21,4.761904762,13,61.9047619,2.339943357
Benchmarks.Trace.HttpClientBenchmark.SendAsync net6.0,execution_time,1,21,4.761904762,12,57.14285714,2.106682712
Benchmarks.Trace.Asm.AppSecWafBenchmark.RunWafRealisticBenchmark netcoreapp3.1,throughput,1,21,4.761904762,5,23.80952381,2.581599036
Benchmarks.Trace.ActivityBenchmark.StartStopWithChild net472,throughput,0,21,0,19,90.47619048,1.618577701
Benchmarks.Trace.Asm.AppSecBodyBenchmark.ObjectExtractorSimpleBody net472,throughput,0,21,0,18,85.71428571,0.8908159541
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSliceWithPool netcoreapp3.1,throughput,0,21,0,18,85.71428571,1.957418385
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleSimpleBody net472,throughput,0,21,0,17,80.95238095,0.8445307469
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSliceWithPool net472,execution_time,0,21,0,17,80.95238095,1.171395331
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSliceWithPool net472,throughput,0,21,0,17,80.95238095,1.12601425
Benchmarks.Trace.DbCommandBenchmark.ExecuteNonQuery net472,throughput,0,21,0,17,80.95238095,1.313738566
Benchmarks.Trace.ElasticsearchBenchmark.CallElasticsearch net472,throughput,0,21,0,17,80.95238095,0.9465144335
Benchmarks.Trace.Log4netBenchmark.EnrichedLog net472,execution_time,0,21,0,17,80.95238095,0.6400581529
Benchmarks.Trace.Log4netBenchmark.EnrichedLog net472,throughput,0,21,0,17,80.95238095,0.4729116175
Benchmarks.Trace.NLogBenchmark.EnrichedLog net472,throughput,0,21,0,17,80.95238095,0.8856126997
Benchmarks.Trace.DbCommandBenchmark.ExecuteNonQuery net6.0,throughput,0,21,0,16,76.19047619,1.968132539
Benchmarks.Trace.GraphQLBenchmark.ExecuteAsync net472,throughput,0,21,0,16,76.19047619,1.748580805
Benchmarks.Trace.HttpClientBenchmark.SendAsync net472,throughput,0,21,0,16,76.19047619,1.176026583
Benchmarks.Trace.AgentWriterBenchmark.WriteAndFlushEnrichedTraces net472,execution_time,0,21,0,15,71.42857143,0.2934559175
Benchmarks.Trace.AgentWriterBenchmark.WriteAndFlushEnrichedTraces net472,throughput,0,21,0,15,71.42857143,0.2945214885
Benchmarks.Trace.AgentWriterBenchmark.WriteAndFlushEnrichedTraces netcoreapp3.1,throughput,0,21,0,15,71.42857143,0.6686145884
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleMoreComplexBody net472,throughput,0,21,0,15,71.42857143,0.4243328272
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeLegacyArgs net6.0,throughput,0,21,0,15,71.42857143,1.701223029
Benchmarks.Trace.RedisBenchmark.SendReceive net472,throughput,0,21,0,15,71.42857143,0.850123019
Benchmarks.Trace.SerilogBenchmark.EnrichedLog net6.0,execution_time,0,21,0,15,71.42857143,0.9016299603
Benchmarks.Trace.SerilogBenchmark.EnrichedLog net6.0,throughput,0,21,0,15,71.42857143,1.184968134
Benchmarks.Trace.TraceAnnotationsBenchmark.RunOnMethodBegin net472,throughput,0,21,0,15,71.42857143,0.693052827
Benchmarks.Trace.ActivityBenchmark.StartStopWithChild netcoreapp3.1,throughput,0,21,0,14,66.66666667,1.512285383
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeArgs net472,throughput,0,21,0,14,66.66666667,0.6562533736
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeLegacyArgs net472,execution_time,0,21,0,14,66.66666667,0.3612509259
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeLegacyArgs net472,throughput,0,21,0,14,66.66666667,0.4554452871
Benchmarks.Trace.GraphQLBenchmark.ExecuteAsync net6.0,execution_time,0,21,0,14,66.66666667,1.887007755
Benchmarks.Trace.ILoggerBenchmark.EnrichedLog net472,throughput,0,21,0,14,66.66666667,1.425601369
Benchmarks.Trace.ILoggerBenchmark.EnrichedLog net6.0,throughput,0,21,0,14,66.66666667,1.414527915
Benchmarks.Trace.SingleSpanAspNetCoreBenchmark.SingleSpanAspNetCore net472,execution_time,0,21,0,14,66.66666667,0.5202216894
Benchmarks.Trace.SpanBenchmark.StartFinishScope net472,throughput,0,21,0,14,66.66666667,1.857015601
Benchmarks.Trace.SpanBenchmark.StartFinishTwoScopes net472,throughput,0,21,0,14,66.66666667,0.7929518042
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleMoreComplexBody netcoreapp3.1,execution_time,0,21,0,13,61.9047619,1.723940112
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleSimpleBody net472,execution_time,0,21,0,13,61.9047619,0.2040772528
Benchmarks.Trace.ElasticsearchBenchmark.CallElasticsearchAsync net472,throughput,0,21,0,13,61.9047619,1.33954198
